トップ50 - 日本,おすすめ！毎日更新の今日本で大人気の楽曲,37i9dQZEVXbKXQ4mDTEBXq
Tokyo Super Hits!,日本で人気急上昇中の楽曲,37i9dQZF1DXafb0IuPwJyF
Today's Top Hits,海外で人気の楽曲,37i9dQZF1DXcBWIGoYBM5M
ハッピーMix,気分をアゲるハッピーソング,37i9dQZF1EVJSvZp5AOML2
Anime Now,最新アニメシーンの話題曲をまとめてお届け,37i9dQZF1DWT8aqnwgRt92
